City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
624,kinablangan,PH,77.63,broken clouds,7.6947,126.5503,Danny Moreno Property
626,tura,IN,74.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
627,new philadelphia,US,77.0,clear sky,40.4898,-81.4457,Holiday Inn Express & Suites New Philadelphia
628,poum,NC,79.07,overcast clouds,-20.2333,164.0167,Gîte kajeon
630,pimenta bueno,BR,79.23,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
635,pilar,BR,86.0,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
637,mabaruma,GY,82.24,overcast clouds,8.2,-59.7833,
638,noumea,NC,78.01,light rain,-22.2763,166.4572,Hôtel Le Lagon
642,kaabong,UG,75.02,overcast clouds,3.4836,34.1492,Rock Motel Ltd
644,cockburn town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
645,tomohon,ID,73.4,scattered clouds,1.3346,124.8392,Gardenia Country Inn
648,le port,RE,79.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
651,barra patuca,HN,84.96,scattered clouds,15.8,-84.2833,
654,tete,MZ,82.4,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
655,cravo norte,CO,79.18,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
658,yanam,IN,76.73,few clouds,16.7333,82.2167,The Regency Hotel
660,maturin,VE,88.54,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
661,lodja,CD,76.96,overcast clouds,-3.4833,23.4333,
663,gualeguay,AR,71.47,moderate rain,-33.1416,-59.3097,Cabañas Nuestro Refugio
674,coruripe,BR,81.59,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
676,sungairaya,ID,78.71,heavy intensity rain,0.7,108.9,Mess P.Milu
679,kalmunai,LK,80.8,scattered clouds,7.4167,81.8167,VS Villa
681,sinnamary,GF,82.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
686,daru,PG,77.56,overcast clouds,-9.0763,143.2092,Daru Lodge
696,kerema,PG,76.26,broken clouds,-7.9631,145.7785,Frena Lodge
697,kroonstad,ZA,70.86,clear sky,-27.6504,27.2349,Travel Inn Kroonstad
699,igatpuri,IN,80.24,few clouds,19.7,73.55,Mystic Valley Spa Resort
700,corumba,BR,87.8,broken clouds,-19.0092,-57.6533,Hotel Laura Vicunha
701,paita,PE,87.8,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
703,zwedru,LR,87.4,overcast clouds,6.0667,-8.1281,Elijah Worjloh
704,pisco,PE,73.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
710,madras,IN,82.4,few clouds,13.0878,80.2785,City home
714,young,UY,84.65,very heavy rain,-32.6833,-57.6333,Posada Gira el Sol
716,awbari,LY,83.55,overcast clouds,26.5921,12.7805,فندق أوباري
717,garowe,SO,79.5,clear sky,8.4054,48.4845,Curubo Hotel
719,aswan,EG,73.44,clear sky,24.0934,32.907,Nuba Nile
720,barabai,ID,74.41,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
722,qena,EG,73.4,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
723,vredendal,ZA,70.16,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
726,tra vinh,VN,80.35,broken clouds,9.9347,106.3453,Hồng Ân
727,hualmay,PE,73.92,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
733,moroni,KM,80.67,overcast clouds,-11.7022,43.2551,Hotel les Arcades
736,omboue,GA,79.18,overcast clouds,-1.5746,9.2618,Hotel Olako
737,novo aripuana,BR,87.22,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
738,acajutla,SV,86.0,scattered clouds,13.5928,-89.8275,asi es
740,bairiki,KI,77.0,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
742,dongzhen,CN,70.23,broken clouds,22.3797,110.9389,茂名中汇时尚酒店
751,calama,CL,73.4,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
753,banda aceh,ID,80.15,scattered clouds,5.5577,95.3222,Sulthan Hotel International
757,ouadda,CF,85.19,overcast clouds,8.0777,22.4007,
762,kotido,UG,79.77,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
767,kabalo,CD,71.44,light rain,-6.05,26.9167,
768,coahuayana,MX,84.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
773,tres passos,BR,84.99,broken clouds,-27.4556,-53.9319,Hotel Imperial
774,iracoubo,GF,82.17,broken clouds,5.4802,-53.2011,Le Gite D Iracoubo
775,bage,BR,84.2,heavy intensity rain,-31.3314,-54.1069,Hotel Obino - Bagé
779,havelock,US,78.8,scattered clouds,34.8791,-76.9013,Sherwood Motel
780,palmeira das missoes,BR,86.7,scattered clouds,-27.8994,-53.3136,Hotel De Carli
781,raymond,US,75.0,broken clouds,43.9015,-70.4703,Migis Lodge at Sebago Lake
782,conceicao do araguaia,BR,89.6,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
783,vilhena,BR,82.4,light rain,-12.7406,-60.1458,Hotel Mirage
784,puerto escondido,MX,86.74,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
788,itarema,BR,85.14,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
791,port keats,AU,79.72,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
792,miami,US,84.0,broken clouds,25.7743,-80.1937,Miami Sun Hotel
802,charters towers,AU,71.35,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
809,ghanzi,BW,73.15,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
814,narasannapeta,IN,77.99,broken clouds,18.4167,84.05,G.lingaraju home
816,that phanom,TH,76.06,scattered clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
819,juarez,MX,71.01,clear sky,31.7333,-106.4833,Hotel Santa Fe
822,cam ranh,VN,77.0,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
825,lingao,CN,73.31,scattered clouds,19.9103,109.6859,Lingao Ditai Inn
826,seydi,TM,70.03,clear sky,39.4816,62.9137,Çagalar Dünýäsi
830,dwarka,IN,80.4,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
831,luanda,AO,86.0,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
833,batticaloa,LK,80.73,scattered clouds,7.7102,81.6924,Grand Star Guest House
838,agadir,MA,73.4,clear sky,30.4202,-9.5982,Iberostar Founty Beach
839,veraval,IN,79.59,clear sky,20.9,70.3667,Lords Inn Somnath
841,gazanjyk,TM,77.22,clear sky,39.2446,55.5154,Railway motel
