City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Kaitangata,NZ,2021-04-08 01:58:39,-46.2817,169.8464,62.01,69,38,11.01
284,Contai,IN,2021-04-08 01:58:39,21.7786,87.7536,83.08,70,0,17.85
285,Vestmannaeyjar,IS,2021-04-08 01:58:40,63.4427,-20.2734,31.68,86,100,18.7
286,Tamandare,BR,2021-04-08 01:58:40,-8.7597,-35.1047,77.86,81,100,7.34
287,Santo Tomas,PH,2021-04-08 01:58:41,14.1079,121.1414,86.0,62,20,6.91
288,Bosaso,SO,2021-04-08 01:58:41,11.2842,49.1816,76.41,52,1,8.05
289,Lazareni,RO,2021-04-08 01:58:41,46.8667,22.0667,25.0,93,5,5.75
290,Bagarji,PK,2021-04-08 01:58:42,27.756,68.7524,68.0,60,0,6.91
291,Hualmay,PE,2021-04-08 01:58:42,-11.0964,-77.6139,69.21,87,100,6.71
292,Touros,BR,2021-04-08 01:58:43,-5.1989,-35.4608,78.8,89,20,5.75
293,Lira,UG,2021-04-08 01:58:43,2.235,32.9097,64.33,87,86,2.98
